archivoA,archivoB,similitud
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/650A6FCA433EE243391E4B4C11F09438,0.2931937172774869
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,0.2893401015228426
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/785003A405BC7A4EBCBB21DDB757BF3F,0.28426395939086296
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/8442AE37B91F279A9F06DE4C60B286A3,0.2571428571428571
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/99A39866A657A10949FCB6D634BB30D5,0.6333333333333333
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/A316D5AECA269CA865077E7FFF356E7D,0.30927835051546393
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/AAAz2E1B6940985A23E5639450F8391820655,0.031496062992125984
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/AL65_DB05DF0498B59B42A8E493CF3C10C578,0.031578947368421054
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/B07322743778B5868475DBE66EEDAC4F,0.2655367231638418
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/B98hX8E8622C393D7E832D39E620EAD5D3B49,0.031914893617021274
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/BVJ2D9FBF759F527AF373E34673DC3ACA462,0.30412371134020616
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/DS22_A670D13D4D014169C4080328B8FEB86,0.05322128851540616
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/EEE99EC8AA67B05407C01094184C33D2B5A44,0.25142857142857145
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/F6655E39465C2FF5B016980D918EA028,0.24719101123595505
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/F8437E44748D2C3FCF84019766F4E6DC,0.3020833333333333
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/FGJKJJ1_2BA0D0083976A5C1E3315413CDCFFCD2,0.28865979381443296
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/FGTR43_EF8E0FB20E7228C7492CCDC59D87C690,0.037333333333333336
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/FHHH6576C196385407B0F7F4B1B537D88983,0.32432432432432434
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/FTTR9EA3C16194CE354C244C1B74C46CD92E,0.26011560693641617
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/GBV66_8F259BB36E00D124963CFA9B86F502E,0.05413105413105413
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/GFT4_7DDD3D72EAD03C7518F5D47650C8572,0.049586776859504134
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/HJGQDD892986B2249B5214639ECC8AC0223,0.28717948717948716
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/JH78C0A33A1B472A8C16123FD696A5CE5EBB,0.3010204081632653
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/JKK8CA6FE7A1315AF5AFEAC2961460A80569,0.29473684210526313
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/K99_C3A9A7B026BFE0E55FF219FD6AA7D94,0.05322128851540616
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/KLp90_6D5C8FC4B14559F73B6136D85B94198,0.05337078651685393
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/L11_1415EB8519D13328091CC5C76A624E3D,0.05343511450381679
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/NBV_8B75BCBFF174C25A0161F30758509A44,0.29473684210526313
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/NV99_C9C9DBF388A8D81D8CFB4D3FC05F8E4,0.05337078651685393
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/PL98_BD8B082B7711BC980252F988BB0CA936,0.031578947368421054
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/POL55_A4F1ECC4D25B33395196B5D51A06790,0.05337078651685393
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/QW2_4C6BDDCCA2695D6202DF38708E14FC7E,0.034210526315789476
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/RTC_7F85D7F628CE62D1D8F7B39D8940472,0.05384615384615385
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/SAM_B659D71AE168E774FAAF38DB30F4A84,0.05337078651685393
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/TG78Z__727A6800991EEAD454E53E8AF164A99C,0.03439153439153439
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/VBMM9_149B7BD7218AAB4E257D28469FDDB0D,0.05384615384615385
./MALWR/33DE5067A433A6EC5C328067DC18EC37,./MALWR/VC990_468FF2C12CFFC7E5B2FE0EE6BB3B239E,0.03439153439153439
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/650A6FCA433EE243391E4B4C11F09438,0.28350515463917525
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,0.28
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/785003A405BC7A4EBCBB21DDB757BF3F,0.275
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/8442AE37B91F279A9F06DE4C60B286A3,0.2542372881355932
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/99A39866A657A10949FCB6D634BB30D5,0.6143790849673203
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/A316D5AECA269CA865077E7FFF356E7D,0.29949238578680204
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/AAAz2E1B6940985A23E5639450F8391820655,0.031331592689295036
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/AL65_DB05DF0498B59B42A8E493CF3C10C578,0.031413612565445025
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/B07322743778B5868475DBE66EEDAC4F,0.26256983240223464
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/B98hX8E8622C393D7E832D39E620EAD5D3B49,0.031746031746031744
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/BVJ2D9FBF759F527AF373E34673DC3ACA462,0.3010204081632653
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/DS22_A670D13D4D014169C4080328B8FEB86,0.052924791086350974
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/EEE99EC8AA67B05407C01094184C33D2B5A44,0.24858757062146894
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/F6655E39465C2FF5B016980D918EA028,0.24444444444444444
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/F8437E44748D2C3FCF84019766F4E6DC,0.2923076923076923
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/FGJKJJ1_2BA0D0083976A5C1E3315413CDCFFCD2,0.27918781725888325
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/FGTR43_EF8E0FB20E7228C7492CCDC59D87C690,0.03713527851458886
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/FHHH6576C196385407B0F7F4B1B537D88983,0.32085561497326204
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/FTTR9EA3C16194CE354C244C1B74C46CD92E,0.2571428571428571
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/GBV66_8F259BB36E00D124963CFA9B86F502E,0.053824362606232294
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/GFT4_7DDD3D72EAD03C7518F5D47650C8572,0.049315068493150684
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/HJGQDD892986B2249B5214639ECC8AC0223,0.28426395939086296
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/JH78C0A33A1B472A8C16123FD696A5CE5EBB,0.2914572864321608
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/JKK8CA6FE7A1315AF5AFEAC2961460A80569,0.2916666666666667
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/K99_C3A9A7B026BFE0E55FF219FD6AA7D94,0.052924791086350974
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/KLp90_6D5C8FC4B14559F73B6136D85B94198,0.05307262569832402
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/L11_1415EB8519D13328091CC5C76A624E3D,0.05303030303030303
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/NBV_8B75BCBFF174C25A0161F30758509A44,0.2849740932642487
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/NV99_C9C9DBF388A8D81D8CFB4D3FC05F8E4,0.05307262569832402
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/PL98_BD8B082B7711BC980252F988BB0CA936,0.031413612565445025
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/POL55_A4F1ECC4D25B33395196B5D51A06790,0.05307262569832402
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/QW2_4C6BDDCCA2695D6202DF38708E14FC7E,0.034031413612565446
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/RTC_7F85D7F628CE62D1D8F7B39D8940472,0.05343511450381679
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/SAM_B659D71AE168E774FAAF38DB30F4A84,0.05307262569832402
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/TG78Z__727A6800991EEAD454E53E8AF164A99C,0.034210526315789476
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/VBMM9_149B7BD7218AAB4E257D28469FDDB0D,0.05343511450381679
./MALWR/65018CD542145A3792BA09985734C12A,./MALWR/VC990_468FF2C12CFFC7E5B2FE0EE6BB3B239E,0.034210526315789476
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,0.6797385620915033
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/785003A405BC7A4EBCBB21DDB757BF3F,0.6842105263157895
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/8442AE37B91F279A9F06DE4C60B286A3,0.3273809523809524
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/99A39866A657A10949FCB6D634BB30D5,0.34782608695652173
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/A316D5AECA269CA865077E7FFF356E7D,0.7019867549668874
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/AAAz2E1B6940985A23E5639450F8391820655,0.033942558746736295
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/AL65_DB05DF0498B59B42A8E493CF3C10C578,0.034031413612565446
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/B07322743778B5868475DBE66EEDAC4F,0.2611111111111111
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/B98hX8E8622C393D7E832D39E620EAD5D3B49,0.0316622691292876
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/BVJ2D9FBF759F527AF373E34673DC3ACA462,0.6516129032258065
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/DS22_A670D13D4D014169C4080328B8FEB86,0.055710306406685235
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/EEE99EC8AA67B05407C01094184C33D2B5A44,0.2542372881355932
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/F6655E39465C2FF5B016980D918EA028,0.25
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/F8437E44748D2C3FCF84019766F4E6DC,0.7448275862068966
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/FGJKJJ1_2BA0D0083976A5C1E3315413CDCFFCD2,0.697986577181208
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/FGTR43_EF8E0FB20E7228C7492CCDC59D87C690,0.037037037037037035
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/FHHH6576C196385407B0F7F4B1B537D88983,0.6870748299319728
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/FTTR9EA3C16194CE354C244C1B74C46CD92E,0.29239766081871343
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/GBV66_8F259BB36E00D124963CFA9B86F502E,0.056657223796033995
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/GFT4_7DDD3D72EAD03C7518F5D47650C8572,0.052054794520547946
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/HJGQDD892986B2249B5214639ECC8AC0223,0.7278911564625851
./MALWR/650A6FCA433EE243391E4B4C11F09438,./MALWR/JH78C0A33A1B472A8C16123FD696A5CE5EBB,0.6753246753246753
