archivoA,archivoB,similitud
./MALWR/1F2EB7B090018D975E6D9B40868C94CA,./MALWR/33DE5067A433A6EC5C328067DC18EC37,0.6666666666666666
./MALWR/1F2EB7B090018D975E6D9B40868C94CA,./MALWR/65018CD542145A3792BA09985734C12A,0.6666666666666666
./MALWR/1F2EB7B090018D975E6D9B40868C94CA,./MALWR/650A6FCA433EE243391E4B4C11F09438,0.6666666666666666
./MALWR/1F2EB7B090018D975E6D9B40868C94CA,./MALWR/6FAA4740F99408D4D2DDDD0B09BBDEFD,0.6666666666666666
./MALWR/1F2EB7B090018D975E6D9B40868C94CA,./MALWR/785003A405BC7A4EBCBB21DDB757BF3F,0.6666666666666666
./MALWR/1F2EB7B090018D975E6D9B40868C94CA,./MALWR/8442AE37B91F279A9F06DE4C60B286A3,1.0
./MALWR/1F2EB7B090018D975E6D9B40868C94CA,./MALWR/99A39866A657A10949FCB6D634BB30D5,0.6666666666666666
./MALWR/1F2EB7B090018D975E6D9B40868C94CA,./MALWR/A316D5AECA269CA865077E7FFF356E7D,0.6666666666666666
./MALWR/1F2EB7B090018D975E6D9B40868C94CA,./MALWR/AAAz2E1B6940985A23E5639450F8391820655,0.21428571428571427
./MALWR/1F2EB7B090018D975E6D9B40868C94CA,./MALWR/AL65_DB05DF0498B59B42A8E493CF3C10C578,0.21428571428571427
./MALWR/1F2EB7B090018D975E6D9B40868C94CA,./MALWR/B07322743778B5868475DBE66EEDAC4F,1.0
./MALWR/1F2EB7B090018D975E6D9B40868C94CA,./MALWR/B98hX8E8622C393D7E832D39E620EAD5D3B49,0.38461538461538464
./MALWR/1F2EB7B090018D975E6D9B40868C94CA,./MALWR/BVJ2D9FBF759F527AF373E34673DC3ACA462,0.6666666666666666
./MALWR/1F2EB7B090018D975E6D9B40868C94CA,./MALWR/DS22_A670D13D4D014169C4080328B8FEB86,0.01098901098901099
./MALWR/1F2EB7B090018D975E6D9B40868C94CA,./MALWR/EEE99EC8AA67B05407C01094184C33D2B5A44,1.0
./MALWR/1F2EB7B090018D975E6D9B40868C94CA,./MALWR/F6655E39465C2FF5B016980D918EA028,1.0
./MALWR/1F2EB7B090018D975E6D9B40868C94CA,./MALWR/F8437E44748D2C3FCF84019766F4E6DC,0.6666666666666666
./MALWR/1F2EB7B090018D975E6D9B40868C94CA,./MALWR/FGJKJJ1_2BA0D0083976A5C1E3315413CDCFFCD2,0.6666666666666666
./MALWR/1F2EB7B090018D975E6D9B40868C94CA,./MALWR/FGTR43_EF8E0FB20E7228C7492CCDC59D87C690,0.21428571428571427
./MALWR/1F2EB7B090018D975E6D9B40868C94CA,./MALWR/FHHH6576C196385407B0F7F4B1B537D88983,0.6666666666666666
./MALWR/1F2EB7B090018D975E6D9B40868C94CA,./MALWR/FTTR9EA3C16194CE354C244C1B74C46CD92E,1.0
