umbral,paresTotales,paresConectados,porcentajeConectado,promedioSimilitud,medianaSimilitud
0.6,780,110,14.102564102564102,0.18241477694274044,0.05307262569832402
0.8,780,26,3.3333333333333335,0.18241477694274044,0.05307262569832402
0.95,780,9,1.153846153846154,0.18241477694274044,0.05307262569832402
